CO_MUNICIPIO,NOME,UF
150460,MOCAJUBA,PA
150470,MOJU,PA
150475,MOJUI DOS CAMPOS,PA
150480,MONTE ALEGRE,PA
150490,MUANA,PA
150495,NOVA ESPERANCA DO PIRIA,PA
150497,NOVA IPIXUNA,PA
150500,NOVA TIMBOTEUA,PA
150503,NOVO PROGRESSO,PA
150506,NOVO REPARTIMENTO,PA
150510,OBIDOS,PA
150520,OEIRAS DO PARA,PA
150530,ORIXIMINA,PA
150540,OUREM,PA
150543,OURILANDIA DO NORTE,PA
150548,PACAJA,PA
150549,PALESTINA DO PARA,PA
150550,PARAGOMINAS,PA
150553,PARAUAPEBAS,PA
150555,PAU D'ARCO,PA
150560,PEIXE-BOI,PA
150563,PICARRA,PA
150565,PLACAS,PA
150570,PONTA DE PEDRAS,PA
150580,PORTEL,PA
150590,PORTO DE MOZ,PA
150600,PRAINHA,PA
150610,PRIMAVERA,PA
150611,QUATIPURU,PA
150613,REDENCAO,PA
150616,RIO MARIA,PA
150618,RONDON DO PARA,PA
150619,RUROPOLIS,PA
150620,SALINOPOLIS,PA
150630,SALVATERRA,PA
150635,SANTA BARBARA DO PARA,PA
150640,SANTA CRUZ DO ARARI,PA
150650,SANTA ISABEL DO PARA,PA
150655,SANTA LUZIA DO PARA,PA
150658,SANTA MARIA DAS BARREIRAS,PA
150660,SANTA MARIA DO PARA,PA
150670,SANTANA DO ARAGUAIA,PA
150680,SANTAREM,PA
150690,SANTAREM NOVO,PA
150700,SANTO ANTONIO DO TAUA,PA
150710,SAO CAETANO DE ODIVELAS,PA
150715,SAO DOMINGOS DO ARAGUAIA,PA
150720,SAO DOMINGOS DO CAPIM,PA
150730,SAO FELIX DO XINGU,PA
150740,SAO FRANCISCO DO PARA,PA
150745,SAO GERALDO DO ARAGUAIA,PA
150746,SAO JOAO DA PONTA,PA
150747,SAO JOAO DE PIRABAS,PA
150750,SAO JOAO DO ARAGUAIA,PA
150760,SAO MIGUEL DO GUAMA,PA
150770,SAO SEBASTIAO DA BOA VISTA,PA
150775,SAPUCAIA,PA
150780,SENADOR JOSE PORFIRIO,PA
150790,SOURE,PA
150795,TAILANDIA,PA
150796,TERRA ALTA,PA
150797,TERRA SANTA,PA
150800,TOME-ACU,PA
150803,TRACUATEUA,PA
150805,TRAIRAO,PA
150808,TUCUMA,PA
150810,TUCURUI,PA
150812,ULIANOPOLIS,PA
150815,URUARA,PA
150820,VIGIA,PA
150830,VISEU,PA
150835,VITORIA DO XINGU,PA
150840,XINGUARA,PA
160005,SERRA DO NAVIO,AP
160010,AMAPA,AP
160015,PEDRA BRANCA DO AMAPARI,AP
160020,CALCOENE,AP
160021,CUTIAS,AP
160023,FERREIRA GOMES,AP
160025,ITAUBAL,AP
160027,LARANJAL DO JARI,AP
160030,MACAPA,AP
160040,MAZAGAO,AP
160050,OIAPOQUE,AP
160053,PORTO GRANDE,AP
160055,PRACUUBA,AP
160060,SANTANA,AP
160070,TARTARUGALZINHO,AP
160080,VITORIA DO JARI,AP
170025,ABREULANDIA,TO
170030,AGUIARNOPOLIS,TO
170035,ALIANCA DO TOCANTINS,TO
170040,ALMAS,TO
170070,ALVORADA,TO
170100,ANANAS,TO
170105,ANGICO,TO
170110,APARECIDA DO RIO NEGRO,TO
170130,ARAGOMINAS,TO
170190,ARAGUACEMA,TO
170200,ARAGUACU,TO
170210,ARAGUAINA,TO
170215,ARAGUANA,TO
170220,ARAGUATINS,TO
170230,ARAPOEMA,TO
170240,ARRAIAS,TO
170255,AUGUSTINOPOLIS,TO
170270,AURORA DO TOCANTINS,TO
170290,AXIXA DO TOCANTINS,TO
170300,BABACULANDIA,TO
170305,BANDEIRANTES DO TOCANTINS,TO
170307,BARRA DO OURO,TO
170310,BARROLANDIA,TO
170320,BERNARDO SAYAO,TO
170330,BOM JESUS DO TOCANTINS,TO
170360,BRASILANDIA DO TOCANTINS,TO
170370,BREJINHO DE NAZARE,TO
170380,BURITI DO TOCANTINS,TO
170382,CACHOEIRINHA,TO
170384,CAMPOS LINDOS,TO
170386,CARIRI DO TOCANTINS,TO
170388,CARMOLANDIA,TO
170389,CARRASCO BONITO,TO
170390,CASEARA,TO
170410,CENTENARIO,TO
170460,CHAPADA DE AREIA,TO
170510,CHAPADA DA NATIVIDADE,TO
170550,COLINAS DO TOCANTINS,TO
170555,COMBINADO,TO
170560,CONCEICAO DO TOCANTINS,TO
170600,COUTO MAGALHAES,TO
170610,CRISTALANDIA,TO
170625,CRIXAS DO TOCANTINS,TO
170650,DARCINOPOLIS,TO
170700,DIANOPOLIS,TO
170710,DIVINOPOLIS DO TOCANTINS,TO
170720,DOIS IRMAOS DO TOCANTINS,TO
170730,DUERE,TO
170740,ESPERANTINA,TO
170755,FATIMA,TO
170765,FIGUEIROPOLIS,TO
170770,FILADELFIA,TO
170820,FORMOSO DO ARAGUAIA,TO
170825,FORTALEZA DO TABOCAO,TO
170830,GOIANORTE,TO
170900,GOIATINS,TO
170930,GUARAI,TO
170950,GURUPI,TO
170980,IPUEIRAS,TO
171050,ITACAJA,TO
171070,ITAGUATINS,TO
171090,ITAPIRATINS,TO
171110,ITAPORA DO TOCANTINS,TO
171150,JAU DO TOCANTINS,TO
171180,JUARINA,TO
171190,LAGOA DA CONFUSAO,TO
171195,LAGOA DO TOCANTINS,TO
171200,LAJEADO,TO
171215,LAVANDEIRA,TO
171240,LIZARDA,TO
171245,LUZINOPOLIS,TO
171250,MARIANOPOLIS DO TOCANTINS,TO
171270,MATEIROS,TO
171280,MAURILANDIA DO TOCANTINS,TO
171320,MIRACEMA DO TOCANTINS,TO
171330,MIRANORTE,TO
171360,MONTE DO CARMO,TO
171370,MONTE SANTO DO TOCANTINS,TO
171380,PALMEIRAS DO TOCANTINS,TO
171395,MURICILANDIA,TO
171420,NATIVIDADE,TO
171430,NAZARE,TO
171488,NOVA OLINDA,TO
171500,NOVA ROSALANDIA,TO
171510,NOVO ACORDO,TO
171515,NOVO ALEGRE,TO
171525,NOVO JARDIM,TO
171550,OLIVEIRA DE FATIMA,TO
171570,PALMEIRANTE,TO
171575,PALMEIROPOLIS,TO
171610,PARAISO DO TOCANTINS,TO
171620,PARANA,TO
171630,PAU D'ARCO,TO
171650,PEDRO AFONSO,TO
171660,PEIXE,TO
171665,PEQUIZEIRO,TO
171670,COLMEIA,TO
171700,PINDORAMA DO TOCANTINS,TO
171720,PIRAQUE,TO
171750,PIUM,TO
171780,PONTE ALTA DO BOM JESUS,TO
171790,PONTE ALTA DO TOCANTINS,TO
171800,PORTO ALEGRE DO TOCANTINS,TO
171820,PORTO NACIONAL,TO
171830,PRAIA NORTE,TO
171840,PRESIDENTE KENNEDY,TO
171845,PUGMIL,TO
171850,RECURSOLANDIA,TO
171855,RIACHINHO,TO
171865,RIO DA CONCEICAO,TO
171870,RIO DOS BOIS,TO
171875,RIO SONO,TO
171880,SAMPAIO,TO
171884,SANDOLANDIA,TO
171886,SANTA FE DO ARAGUAIA,TO
171888,SANTA MARIA DO TOCANTINS,TO
171889,SANTA RITA DO TOCANTINS,TO
171890,SANTA ROSA DO TOCANTINS,TO
171900,SANTA TEREZA DO TOCANTINS,TO
172000,SANTA TEREZINHA DO TOCANTINS,TO
172010,SAO BENTO DO TOCANTINS,TO
172015,SAO FELIX DO TOCANTINS,TO
172020,SAO MIGUEL DO TOCANTINS,TO
172025,SAO SALVADOR DO TOCANTINS,TO
172030,SAO SEBASTIAO DO TOCANTINS,TO
172049,SAO VALERIO DA NATIVIDADE,TO
172065,SILVANOPOLIS,TO
172080,SITIO NOVO DO TOCANTINS,TO
172085,SUCUPIRA,TO
172090,TAGUATINGA,TO
172093,TAIPAS DO TOCANTINS,TO
172097,TALISMA,TO
172100,PALMAS,TO
172110,TOCANTINIA,TO
172120,TOCANTINOPOLIS,TO
172125,TUPIRAMA,TO
172130,TUPIRATINS,TO
172208,WANDERLANDIA,TO
172210,XAMBIOA,TO
210005,ACAILANDIA,MA
210010,AFONSO CUNHA,MA
210015,AGUA DOCE DO MARANHAO,MA
210020,ALCANTARA,MA
210030,ALDEIAS ALTAS,MA
210040,ALTAMIRA DO MARANHAO,MA
210043,ALTO ALEGRE DO MARANHAO,MA
210047,ALTO ALEGRE DO PINDARE,MA
210050,ALTO PARNAIBA,MA
210055,AMAPA DO MARANHAO,MA
210060,AMARANTE DO MARANHAO,MA
210070,ANAJATUBA,MA
210080,ANAPURUS,MA
210083,APICUM-ACU,MA
210087,ARAGUANA,MA
210090,ARAIOSES,MA
210095,ARAME,MA
210100,ARARI,MA
210110,AXIXA,MA
210120,BACABAL,MA
210125,BACABEIRA,MA
210130,BACURI,MA
210135,BACURITUBA,MA
210140,BALSAS,MA
210150,BARAO DE GRAJAU,MA
210160,BARRA DO CORDA,MA
210170,BARREIRINHAS,MA
210173,BELAGUA,MA
210177,BELA VISTA DO MARANHAO,MA
210180,BENEDITO LEITE,MA
210190,BEQUIMAO,MA
210193,BERNARDO DO MEARIM,MA
210197,BOA VISTA DO GURUPI,MA
210200,BOM JARDIM,MA
210203,BOM JESUS DAS SELVAS,MA
210207,BOM LUGAR,MA
210210,BREJO,MA
210215,BREJO DE AREIA,MA
210220,BURITI,MA
210230,BURITI BRAVO,MA
210232,BURITICUPU,MA
210235,BURITIRANA,MA
210237,CACHOEIRA GRANDE,MA
210240,CAJAPIO,MA
210250,CAJARI,MA
210255,CAMPESTRE DO MARANHAO,MA
210260,CANDIDO MENDES,MA
210270,CANTANHEDE,MA
210275,CAPINZAL DO NORTE,MA
210280,CAROLINA,MA
210290,CARUTAPERA,MA
210300,CAXIAS,MA
210310,CEDRAL,MA
210312,CENTRAL DO MARANHAO,MA
210315,CENTRO DO GUILHERME,MA
210317,CENTRO NOVO DO MARANHAO,MA
210320,CHAPADINHA,MA
210325,CIDELANDIA,MA
210330,CODO,MA
210340,COELHO NETO,MA
210350,COLINAS,MA
210355,CONCEICAO DO LAGO-ACU,MA
210360,COROATA,MA
210370,CURURUPU,MA
210375,DAVINOPOLIS,MA
210380,DOM PEDRO,MA
210390,DUQUE BACELAR,MA
210400,ESPERANTINOPOLIS,MA
210405,ESTREITO,MA
210407,FEIRA NOVA DO MARANHAO,MA
210408,FERNANDO FALCAO,MA
210409,FORMOSA DA SERRA NEGRA,MA
210410,FORTALEZA DOS NOGUEIRAS,MA
210420,FORTUNA,MA
210430,GODOFREDO VIANA,MA
210440,GONCALVES DIAS,MA
210450,GOVERNADOR ARCHER,MA
210455,GOVERNADOR EDISON LOBAO,MA
210460,GOVERNADOR EUGENIO BARROS,MA
210462,GOVERNADOR LUIZ ROCHA,MA
210465,GOVERNADOR NEWTON BELLO,MA
210467,GOVERNADOR NUNES FREIRE,MA
210470,GRACA ARANHA,MA
210480,GRAJAU,MA
210490,GUIMARAES,MA
210500,HUMBERTO DE CAMPOS,MA
210510,ICATU,MA
210515,IGARAPE DO MEIO,MA
210520,IGARAPE GRANDE,MA
210530,IMPERATRIZ,MA
210535,ITAIPAVA DO GRAJAU,MA
210540,ITAPECURU MIRIM,MA
210542,ITINGA DO MARANHAO,MA
210545,JATOBA,MA
210547,JENIPAPO DOS VIEIRAS,MA
210550,JOAO LISBOA,MA
210560,JOSELANDIA,MA
210565,JUNCO DO MARANHAO,MA
210570,LAGO DA PEDRA,MA
210580,LAGO DO JUNCO,MA
210590,LAGO VERDE,MA
210592,LAGOA DO MATO,MA
210594,LAGO DOS RODRIGUES,MA
210596,LAGOA GRANDE DO MARANHAO,MA
210598,LAJEADO NOVO,MA
210600,LIMA CAMPOS,MA
210610,LORETO,MA
210620,LUIS DOMINGUES,MA
210630,MAGALHAES DE ALMEIDA,MA
210632,MARACACUME,MA
210635,MARAJA DO SENA,MA
210637,MARANHAOZINHO,MA
210640,MATA ROMA,MA
210650,MATINHA,MA
210660,MATOES,MA
210663,MATOES DO NORTE,MA
210667,MILAGRES DO MARANHAO,MA
210670,MIRADOR,MA
210675,MIRANDA DO NORTE,MA
210680,MIRINZAL,MA
210690,MONCAO,MA
210700,MONTES ALTOS,MA
210710,MORROS,MA
210720,NINA RODRIGUES,MA
210725,NOVA COLINAS,MA
210730,NOVA IORQUE,MA
210735,NOVA OLINDA DO MARANHAO,MA
210740,OLHO D'AGUA DAS CUNHAS,MA
210745,OLINDA NOVA DO MARANHAO,MA
210750,PACO DO LUMIAR,MA
210760,PALMEIRANDIA,MA
210770,PARAIBANO,MA
210780,PARNARAMA,MA
210790,PASSAGEM FRANCA,MA
210800,PASTOS BONS,MA
210805,PAULINO NEVES,MA
210810,PAULO RAMOS,MA
210820,PEDREIRAS,MA
210825,PEDRO DO ROSARIO,MA
210830,PENALVA,MA
210840,PERI MIRIM,MA
210845,PERITORO,MA
210850,PINDARE-MIRIM,MA
210860,PINHEIRO,MA
210870,PIO XII,MA
210880,PIRAPEMAS,MA
210890,POCAO DE PEDRAS,MA
210900,PORTO FRANCO,MA
210905,PORTO RICO DO MARANHAO,MA
210910,PRESIDENTE DUTRA,MA
210920,PRESIDENTE JUSCELINO,MA
210923,PRESIDENTE MEDICI,MA
210927,PRESIDENTE SARNEY,MA
210930,PRESIDENTE VARGAS,MA
210940,PRIMEIRA CRUZ,MA
210945,RAPOSA,MA
210950,RIACHAO,MA
210955,RIBAMAR FIQUENE,MA
210960,ROSARIO,MA
210970,SAMBAIBA,MA
210975,SANTA FILOMENA DO MARANHAO,MA
210980,SANTA HELENA,MA
210990,SANTA INES,MA
211000,SANTA LUZIA,MA
211003,SANTA LUZIA DO PARUA,MA
211010,SANTA QUITERIA DO MARANHAO,MA
211020,SANTA RITA,MA
211023,SANTANA DO MARANHAO,MA
211027,SANTO AMARO DO MARANHAO,MA
211030,SANTO ANTONIO DOS LOPES,MA
211040,SAO BENEDITO DO RIO PRETO,MA
211050,SAO BENTO,MA
211060,SAO BERNARDO,MA
211065,SAO DOMINGOS DO AZEITAO,MA
211070,SAO DOMINGOS DO MARANHAO,MA
211080,SAO FELIX DE BALSAS,MA
211085,SAO FRANCISCO DO BREJAO,MA
211090,SAO FRANCISCO DO MARANHAO,MA
211100,SAO JOAO BATISTA,MA
211102,SAO JOAO DO CARU,MA
211105,SAO JOAO DO PARAISO,MA
211107,SAO JOAO DO SOTER,MA
211110,SAO JOAO DOS PATOS,MA
211120,SAO JOSE DE RIBAMAR,MA
211125,SAO JOSE DOS BASILIOS,MA
211130,SAO LUIS,MA
211140,SAO LUIS GONZAGA DO MARANHAO,MA
211150,SAO MATEUS DO MARANHAO,MA
211153,SAO PEDRO DA AGUA BRANCA,MA
211157,SAO PEDRO DOS CRENTES,MA
211160,SAO RAIMUNDO DAS MANGABEIRAS,MA
211163,SAO RAIMUNDO DO DOCA BEZERRA,MA
211167,SAO ROBERTO,MA
211170,SAO VICENTE FERRER,MA
211172,SATUBINHA,MA
211174,SENADOR ALEXANDRE COSTA,MA
211176,SENADOR LA ROCQUE,MA
211178,SERRANO DO MARANHAO,MA
211180,SITIO NOVO,MA
211190,SUCUPIRA DO NORTE,MA
211195,SUCUPIRA DO RIACHAO,MA
211200,TASSO FRAGOSO,MA
211210,TIMBIRAS,MA
211220,TIMON,MA
211223,TRIZIDELA DO VALE,MA
211227,TUFILANDIA,MA
211230,TUNTUM,MA
211240,TURIACU,MA
211245,TURILANDIA,MA
211250,TUTOIA,MA
211260,URBANO SANTOS,MA
211270,VARGEM GRANDE,MA
211280,VIANA,MA
211285,VILA NOVA DOS MARTIRIOS,MA
211290,VITORIA DO MEARIM,MA
211300,VITORINO FREIRE,MA
211400,ZE DOCA,MA
220005,ACAUA,PI
220010,AGRICOLANDIA,PI
220020,AGUA BRANCA,PI
220025,ALAGOINHA DO PIAUI,PI
220027,ALEGRETE DO PIAUI,PI
220030,ALTO LONGA,PI
220040,ALTOS,PI
220045,ALVORADA DO GURGUEIA,PI
220050,AMARANTE,PI
220060,ANGICAL DO PIAUI,PI
220070,ANISIO DE ABREU,PI
220080,ANTONIO ALMEIDA,PI
220090,AROAZES,PI
220095,AROEIRAS DO ITAIM,PI
220100,ARRAIAL,PI
220105,ASSUNCAO DO PIAUI,PI
220110,AVELINO LOPES,PI
220115,BAIXA GRANDE DO RIBEIRO,PI
220117,BARRA D'ALCANTARA,PI
220120,BARRAS,PI
220130,BARREIRAS DO PIAUI,PI
220140,BARRO DURO,PI
220150,BATALHA,PI
220155,BELA VISTA DO PIAUI,PI
220157,BELEM DO PIAUI,PI
220160,BENEDITINOS,PI
220170,BERTOLINIA,PI
220173,BETANIA DO PIAUI,PI
220177,BOA HORA,PI
220180,BOCAINA,PI
220190,BOM JESUS,PI
220191,BOM PRINCIPIO DO PIAUI,PI
220192,BONFIM DO PIAUI,PI
220194,BOQUEIRAO DO PIAUI,PI
220196,BRASILEIRA,PI
220198,BREJO DO PIAUI,PI
220200,BURITI DOS LOPES,PI
220202,BURITI DOS MONTES,PI
220205,CABECEIRAS DO PIAUI,PI
220207,CAJAZEIRAS DO PIAUI,PI
220208,CAJUEIRO DA PRAIA,PI
220209,CALDEIRAO GRANDE DO PIAUI,PI
220210,CAMPINAS DO PIAUI,PI
220211,CAMPO ALEGRE DO FIDALGO,PI
220213,CAMPO GRANDE DO PIAUI,PI
220217,CAMPO LARGO DO PIAUI,PI
220220,CAMPO MAIOR,PI
220225,CANAVIEIRA,PI
220230,CANTO DO BURITI,PI
220240,CAPITAO DE CAMPOS,PI
220245,CAPITAO GERVASIO OLIVEIRA,PI
220250,CARACOL,PI
220253,CARAUBAS DO PIAUI,PI
220255,CARIDADE DO PIAUI,PI
220260,CASTELO DO PIAUI,PI
220265,CAXINGO,PI
220270,COCAL,PI
220271,COCAL DE TELHA,PI
220272,COCAL DOS ALVES,PI
220273,COIVARAS,PI
220275,COLONIA DO GURGUEIA,PI
220277,COLONIA DO PIAUI,PI
220280,CONCEICAO DO CANINDE,PI
220285,CORONEL JOSE DIAS,PI
220290,CORRENTE,PI
220300,CRISTALANDIA DO PIAUI,PI
220310,CRISTINO CASTRO,PI
220320,CURIMATA,PI
220323,CURRAIS,PI
220325,CURRALINHOS,PI
220327,CURRAL NOVO DO PIAUI,PI
220330,DEMERVAL LOBAO,PI
220335,DIRCEU ARCOVERDE,PI
220340,DOM EXPEDITO LOPES,PI
220342,DOMINGOS MOURAO,PI
220345,DOM INOCENCIO,PI
220350,ELESBAO VELOSO,PI
220360,ELISEU MARTINS,PI
220370,ESPERANTINA,PI
220375,FARTURA DO PIAUI,PI
220380,FLORES DO PIAUI,PI
220385,FLORESTA DO PIAUI,PI
220390,FLORIANO,PI
220400,FRANCINOPOLIS,PI
220410,FRANCISCO AYRES,PI
220415,FRANCISCO MACEDO,PI
220420,FRANCISCO SANTOS,PI
220430,FRONTEIRAS,PI
220435,GEMINIANO,PI
220440,GILBUES,PI
220450,GUADALUPE,PI
220455,GUARIBAS,PI
220460,HUGO NAPOLEAO,PI
220465,ILHA GRANDE,PI
220470,INHUMA,PI
220480,IPIRANGA DO PIAUI,PI
220490,ISAIAS COELHO,PI
220500,ITAINOPOLIS,PI
220510,ITAUEIRA,PI
220515,JACOBINA DO PIAUI,PI
220520,JAICOS,PI
220525,JARDIM DO MULATO,PI
220527,JATOBA DO PIAUI,PI
220530,JERUMENHA,PI
220535,JOAO COSTA,PI
220540,JOAQUIM PIRES,PI
220545,JOCA MARQUES,PI
220550,JOSE DE FREITAS,PI
220551,JUAZEIRO DO PIAUI,PI
220552,JULIO BORGES,PI
220553,JUREMA,PI
220554,LAGOINHA DO PIAUI,PI
220555,LAGOA ALEGRE,PI
220556,LAGOA DO BARRO DO PIAUI,PI
220557,LAGOA DE SAO FRANCISCO,PI
220558,LAGOA DO PIAUI,PI
220559,LAGOA DO SITIO,PI
220560,LANDRI SALES,PI
220570,LUIS CORREIA,PI
220580,LUZILANDIA,PI
220585,MADEIRO,PI
220590,MANOEL EMIDIO,PI
220595,MARCOLANDIA,PI
220600,MARCOS PARENTE,PI
220605,MASSAPE DO PIAUI,PI
220610,MATIAS OLIMPIO,PI
220620,MIGUEL ALVES,PI
220630,MIGUEL LEAO,PI
220635,MILTON BRANDAO,PI
220640,MONSENHOR GIL,PI
220650,MONSENHOR HIPOLITO,PI
220660,MONTE ALEGRE DO PIAUI,PI
220665,MORRO CABECA NO TEMPO,PI
220667,MORRO DO CHAPEU DO PIAUI,PI
220669,MURICI DOS PORTELAS,PI
220670,NAZARE DO PIAUI,PI
220672,NAZARIA,PI
220675,NOSSA SENHORA DE NAZARE,PI
220680,NOSSA SENHORA DOS REMEDIOS,PI
220690,NOVO ORIENTE DO PIAUI,PI
220695,NOVO SANTO ANTONIO,PI
220700,OEIRAS,PI
220710,OLHO D'AGUA DO PIAUI,PI
220720,PADRE MARCOS,PI
220730,PAES LANDIM,PI
